Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed,Duos score,Duos top1,Duos kd,Duos winRatio,Duos matches,Duos kills,Duos minutesPlayed,Trios score,Trios top1,Trios kd,Trios winRatio,Trios matches,Trios kills,Trios minutesPlayed,Squads score,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills,Squads minutesPlayed,LTM score,LTM top1,LTM top3,LTM kd,LTM winRatio,LTM matches,LTM kills,LTM minutesPlayed
BH nixxxay,439562,1694,8.71,29.1,5817,35895,12732,4065613,4141,9.49,21.5,19252,143330,119678,6432.0,4.0,8.06,19.0,21.0,137.0,207.0,5275367.0,4978.0,10.24,30.3,16433.0,117327.0,150439.0,151358.0,229.0,190.0,8.2,18.2,1259.0,8442.0,4206.0
Raпger,4519465,4582,9.6,34.0,13488,85481,122171,1137279,1390,7.78,24.6,5649,33123,31744,990451.0,716.0,4.75,26.4,2711.0,9477.0,36634.0,2745537.0,4435.0,8.4,32.9,13494.0,76065.0,86684.0,452136.0,1180.0,818.0,11.12,32.9,3583.0,26726.0,12273.0
Twitch.GryphonRB,1136282,1327,6.32,30.0,4429,19591,36245,3692623,5743,11.13,50.6,11339,62270,93804,703062.0,900.0,24.07,78.5,1146.0,5920.0,17767.0,2795511.0,3445.0,7.58,36.2,9524.0,46068.0,81424.0,556721.0,824.0,600.0,14.99,53.3,1546.0,10826.0,12019.0
SMS Efesto96,1955351,1876,5.73,21.8,8613,38611,64610,687739,1471,8.96,33.3,4411,26329,20596,764768.0,400.0,3.55,15.6,2572.0,7700.0,31308.0,2429368.0,2606.0,6.99,28.1,9267.0,46578.0,80746.0,32419.0,130.0,100.0,8.68,37.4,348.0,1892.0,911.0
Youtube Timyoshi,3169985,2019,5.12,16.2,12448,53411,98287,496836,867,5.03,17.9,4852,20028,15094,269981.0,108.0,2.97,10.9,992.0,2623.0,11885.0,1636005.0,1544.0,4.99,18.8,8202.0,33239.0,51943.0,55485.0,79.0,77.0,5.06,10.2,777.0,3530.0,1841.0
Loeya,3130175,3929,5.31,25.7,15279,60282,100618,1880892,2375,7.31,35.0,6778,32166,60428,108877.0,51.0,1.79,11.9,428.0,673.0,4849.0,312870.0,295.0,3.94,18.4,1602.0,5147.0,10594.0,91275.0,127.0,57.0,4.85,17.4,728.0,2913.0,3234.0
dsl de JOYJOYC.,2663127,2600,5.05,21.0,12358,49305,84119,556200,924,4.44,15.1,6107,23035,20042,358337.0,143.0,2.22,10.1,1415.0,2820.0,14861.0,1682251.0,1295.0,3.94,13.4,9670.0,32980.0,60208.0,169451.0,144.0,111.0,6.74,16.4,878.0,4950.0,5080.0
Coach swag_,3663808,4258,5.04,19.4,21936,89023,130476,184490,512,5.18,20.7,2472,10155,6776,78912.0,23.0,2.19,7.3,317.0,643.0,3692.0,1168670.0,1006.0,3.71,15.3,6576.0,20679.0,43970.0,24828.0,34.0,16.0,5.02,15.7,216.0,913.0,794.0
ashley stinks,2322176,2061,5.75,25.3,8139,34971,72863,919104,1599,5.74,27.0,5928,24827,30632,69545.0,40.0,2.49,17.7,226.0,464.0,2968.0,1544509.0,1631.0,5.49,26.9,6061.0,24309.0,47232.0,102089.0,102.0,72.0,5.22,16.8,608.0,2643.0,3098.0
ShootingblanksX,2492009,1113,5.1,14.5,7693,33528,76011,470458,354,9.2,23.8,1489,10437,14925,469685.0,200.0,2.55,12.1,1647.0,3691.0,19899.0,1370461.0,779.0,6.87,17.7,4409.0,24946.0,44392.0,97881.0,22.0,33.0,4.82,6.1,359.0,1624.0,3387.0
Avxry,2635603,2648,5.89,18.3,14446,69513,80092,463704,1166,5.82,24.7,4713,20650,14625,232705.0,155.0,5.26,21.7,713.0,2935.0,7557.0,1368881.0,1665.0,5.63,23.3,7159.0,30948.0,42117.0,185215.0,126.0,90.0,8.46,13.0,971.0,7145.0,5896.0
Yanniツ,2504274,2243,5.6,23.1,9723,41893,79342,570451,1376,5.09,23.1,5949,23297,18475,56167.0,24.0,2.35,12.6,191.0,393.0,2599.0,1316019.0,1410.0,5.46,25.1,5625.0,23012.0,41154.0,142271.0,165.0,112.0,5.92,15.9,1038.0,5172.0,3410.0
jmoe161 TV,505070,1044,5.86,18.7,5579,26593,15977,2569924,2864,5.29,14.8,19293,86944,86478,55216.0,29.0,4.84,15.3,189.0,775.0,2016.0,1206554.0,1034.0,4.79,14.2,7305.0,30066.0,40510.0,65106.0,97.0,56.0,7.25,21.1,459.0,2626.0,1988.0
Typical Gamer,2613995,2222,6.03,19.8,11219,54262,77932,347921,694,6.26,25.2,2752,12879,10112,258878.0,144.0,3.16,18.0,798.0,2066.0,10724.0,1099860.0,1170.0,5.51,20.7,5646.0,24682.0,39689.0,202817.0,130.0,76.0,9.69,11.4,1142.0,9806.0,6404.0
give me pasta,3795141,4486,5.91,44.1,10166,33570,131118,189454,232,3.5,21.2,1096,3021,6284,26677.0,5.0,3.55,6.4,78.0,259.0,964.0,299020.0,351.0,3.5,20.9,1677.0,4641.0,10206.0,645337.0,72.0,40.0,16.01,4.4,1650.0,25271.0,22431.0
semm1234,1741430,3454,6.95,22.1,15635,84716,48248,897961,819,6.62,18.9,4335,23270,28395,15262.0,5.0,5.31,9.4,53.0,255.0,566.0,1620296.0,1496.0,5.78,19.2,7802.0,36462.0,53051.0,46698.0,66.0,17.0,7.11,24.3,272.0,1464.0,1302.0
SypherPK,2104455,4115,7.16,28.5,14436,73948,65186,831686,1227,6.66,28.0,4382,20997,23420,336238.0,151.0,3.07,12.8,1176.0,3150.0,13791.0,944012.0,919.0,4.2,18.2,5051.0,17360.0,32468.0,99793.0,104.0,68.0,5.44,13.6,767.0,3608.0,3051.0
RAМPAGE88,1426115,1256,6.12,25.5,4935,22515,40503,1260977,1669,5.77,29.5,5655,23002,36096,274948.0,157.0,4.44,17.9,877.0,3196.0,10639.0,1067406.0,1067.0,4.76,21.6,4934.0,18397.0,32080.0,697113.0,642.0,567.0,10.84,27.5,2338.0,18391.0,18652.0
KUREN 王,1915270,938,6.35,16.9,5536,29194,60578,451726,201,3.98,10.3,1948,6953,14451,822544.0,487.0,4.58,21.0,2318.0,8379.0,33335.0,869432.0,383.0,4.16,13.1,2924.0,10559.0,33734.0,68631.0,36.0,31.0,5.59,12.9,279.0,1358.0,2143.0
yunyache32,1289716,637,5.1,14.4,4417,19284,43928,1700123,1031,5.14,19.7,5222,21552,55059,,,,,,,,1050878.0,454.0,4.45,13.0,3496.0,13552.0,36749.0,84841.0,72.0,81.0,8.32,30.9,233.0,1340.0,2252.0
Softе,1492867,1882,5.08,18.3,10262,42582,50254,720944,1536,5.69,20.4,7540,34147,23905,407972.0,135.0,2.26,8.3,1631.0,3385.0,18008.0,1221556.0,1160.0,4.69,16.6,7005.0,27403.0,46050.0,45498.0,139.0,61.0,6.77,21.3,654.0,3487.0,1477.0
69ッッッ,370635,350,5.19,24.9,1405,5472,11860,1655445,1409,6.34,25.4,5544,26212,58212,263503.0,240.0,9.43,37.9,633.0,3706.0,9026.0,1520882.0,1417.0,6.97,32.0,4431.0,21005.0,48209.0,246793.0,163.0,165.0,5.95,19.2,849.0,4080.0,8218.0
Twitch_PuZiiyoッ,142442,290,5.68,21.8,1328,5898,4797,3438867,7594,9.76,52.7,14422,66666,104666,42430.0,43.0,9.56,47.3,91.0,459.0,1339.0,141528.0,211.0,6.26,29.9,705.0,3093.0,4757.0,139246.0,378.0,364.0,7.55,38.6,980.0,4545.0,4042.0
Timzoes,2191114,1687,7.67,29.9,5636,30299,61124,279008,210,4.26,17.1,1225,4323,9556,141232.0,70.0,3.23,12.5,562.0,1589.0,5645.0,1135873.0,776.0,4.92,20.3,3831.0,15043.0,38603.0,173296.0,45.0,38.0,6.2,9.3,483.0,2716.0,3895.0
ItsWiKKiD,1504600,1524,5.94,28.4,5360,22781,47930,889521,3012,8.11,43.4,6941,31848,26328,287897.0,208.0,6.5,24.9,836.0,4085.0,9972.0,961396.0,1662.0,6.24,33.8,4915.0,20293.0,30795.0,904814.0,898.0,582.0,8.05,25.7,3489.0,20854.0,24660.0
PumpMeHarderPapi,2411764,1659,5.31,20.3,8179,34602,75041,716482,564,3.45,9.9,5724,17821,24155,28386.0,2.0,3.16,1.6,122.0,379.0,1041.0,479888.0,466.0,3.52,11.4,4087.0,12737.0,17292.0,53965.0,83.0,41.0,3.6,7.9,1049.0,3482.0,1766.0
RAGNA-AU,1791983,1240,6.72,25.7,4822,24088,50476,1118003,944,4.48,25.5,3709,12389,34393,214175.0,122.0,3.73,17.0,717.0,2217.0,7970.0,415424.0,220.0,3.3,14.7,1499.0,4223.0,14388.0,453425.0,213.0,219.0,7.84,16.4,1296.0,8491.0,11519.0
Riddle Maufin 7,1114573,777,5.6,14.5,5369,25731,38604,998420,1388,5.95,13.1,10590,54782,31941,675823.0,347.0,4.98,16.9,2054.0,8508.0,27189.0,738741.0,454.0,5.53,15.8,2871.0,13377.0,26789.0,24286.0,53.0,37.0,5.86,16.1,330.0,1622.0,589.0
FaZe Funk,1518170,1568,5.58,18.8,8362,37893,49702,499872,1319,7.4,28.8,4585,24182,15636,542167.0,269.0,3.49,14.6,1847.0,5502.0,22344.0,934826.0,1351.0,5.17,21.5,6272.0,25433.0,37668.0,96575.0,180.0,117.0,8.76,20.2,890.0,6220.0,2909.0
rehx cr,1080959,540,5.3,16.5,3267,14442,37219,440894,248,4.87,14.6,1699,7062,15215,1059215.0,685.0,6.02,23.5,2909.0,13395.0,39089.0,898212.0,508.0,4.92,18.4,2763.0,11101.0,33056.0,71780.0,21.0,23.0,8.1,11.1,190.0,1369.0,1646.0
synzao,2145429,1396,5.04,15.4,9081,38746,64439,330224,580,4.83,18.2,3183,12579,11030,204455.0,58.0,3.7,6.8,859.0,2960.0,8648.0,742013.0,498.0,4.89,12.1,4130.0,17761.0,27392.0,623859.0,431.0,233.0,8.39,16.2,2666.0,18750.0,14877.0
Ninja,743902,2234,9.21,29.7,7511,48620,21730,1290255,2722,9.9,38.2,7117,43531,33937,77399.0,49.0,4.81,20.9,235.0,894.0,2620.0,1297495.0,2724.0,8.98,36.2,7522.0,43089.0,39438.0,53589.0,157.0,84.0,10.76,33.5,469.0,3356.0,1225.0
Eskosr,982031,723,6.96,32.5,2224,10445,30317,1276014,1019,5.09,28.7,3551,12891,44942,52369.0,27.0,3.11,14.9,181.0,479.0,2222.0,1093701.0,852.0,4.97,30.5,2793.0,9641.0,37690.0,24262.0,9.0,7.0,3.77,11.0,82.0,275.0,840.0
ずっきーいずごっど,581320,374,5.46,22.7,1645,6944,18228,1858645,1613,5.2,32.2,5007,17636,61885,146972.0,80.0,3.14,19.4,412.0,1042.0,5570.0,794475.0,564.0,4.54,24.9,2268.0,7744.0,26482.0,244136.0,19.0,15.0,3.47,2.9,649.0,2184.0,9956.0
Geri.-,1005589,1152,5.14,25.8,4471,17065,28719,315784,546,4.15,21.6,2533,8244,9585,34201.0,15.0,2.78,11.1,135.0,334.0,1444.0,1995674.0,2364.0,4.85,23.6,10008.0,37111.0,59937.0,203073.0,215.0,141.0,4.36,15.8,1358.0,4979.0,5591.0
eRa Clipnode,1449565,1802,5.38,20.1,8982,38663,50524,154904,781,5.95,24.3,3213,14465,5429,562206.0,280.0,3.5,15.2,1846.0,5486.0,23037.0,1101629.0,1339.0,5.62,28.9,4634.0,18507.0,39181.0,3036.0,675.0,571.0,9.66,63.9,1056.0,3681.0,105.0
12am Schlump,2381694,1915,6.53,34.6,5542,23678,78188,116278,84,4.13,18.7,449,1507,4420,186958.0,70.0,2.03,9.6,728.0,1335.0,9056.0,582314.0,467.0,5.35,28.4,1644.0,6298.0,19068.0,10884.0,3.0,4.0,4.76,4.9,61.0,276.0,399.0
Cоde x2Twins,757477,452,5.06,14.6,3103,13408,25740,449273,420,8.1,32.9,1277,6944,13794,557510.0,373.0,4.33,25.3,1476.0,4778.0,20857.0,1484195.0,1265.0,8.23,37.2,3399.0,17553.0,43176.0,214064.0,92.0,77.0,16.59,14.3,645.0,9175.0,6049.0
